session_id,player_id,agent_instance_id,agent_id,group_id,subsession_id,round_number,module,profile_a_tax_rate,profile_a_healthcare_spending,profile_a_education_spending,profile_a_immigration_policy,profile_a_climate_policy,profile_b_tax_rate,profile_b_healthcare_spending,profile_b_education_spending,profile_b_immigration_policy,profile_b_climate_policy,chosen_profile,chosen_profile_speculation_score,choice_confidence,choice_confidence_speculation_score,choice_reasoning,most_important_attribute,most_important_attribute_speculation_score,comments
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_1_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_1,1,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g1,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Shift to voucher system,Points-based system,Carbon tax ($50/ton),10% flat tax,Decrease by 15%,Double public school funding,Reduce by 50%,Green subsidies only,Profile A,0.12,6,0.12,"I picked Profile A because it best matches my priorities as a 34-year-old, college-educated urban Democrat earning $60k–$100k: it expands healthcare and education funding, takes meaningful climate action, supports humane immigration policies, and balances those priorities with a reasonable tax rate. That combination aligns with my values and practical financial concerns.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_2_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_2,2,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g2,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Points-based system,Carbon tax ($50/ton),10% flat tax,Decrease by 15%,Shift to voucher system,Open borders,Green subsidies only,Profile A,0.25,6,0.25,"I chose Profile A because it matches my background and values—I'm a middle‑aged, working‑class, rural Republican with no college degree, so I prefer policies that favor lower taxes, limited government spending, stricter immigration control, and practical climate/energy approaches that protect jobs and communities.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_3_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_3,3,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g3,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Shift to voucher system,Points-based system,Green subsidies only,10% flat tax,Decrease by 15%,Double public school funding,Open borders,Carbon tax ($50/ton),Profile B,0.25,5,0.25,"I picked Profile B because it best matches my centrist, pragmatic preferences: it balances reasonable taxes with meaningful investments in healthcare and education, supports sensible, humane immigration policies, and pursues practical climate action. That mix fits my urban, college-educated background and desire for evidence-based, fiscally responsible solutions.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_4_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_4,4,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g4,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Increase by 20%,Shift to voucher system,Points-based system,Carbon tax ($50/ton),10% flat tax,Decrease by 15%,Maintain current levels,Open borders,Green subsidies only,Profile A,0.25,6,0.25,"As a 67-year-old, college-educated Republican in a suburban area with moderate income, I picked Profile A because it balances lower taxes and fiscal responsibility with protections for healthcare and retirement security, favors sensible education funding, supports stricter immigration controls, and endorses pragmatic, market-based climate measures rather than heavy-handed regulation.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_5_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_5,5,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g5,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Points-based system,Green subsidies only,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,No new regulations,Profile A,0.12,6,0.12,"I chose Profile A because it best matches my priorities as a lower-income Democrat: it prioritizes affordable healthcare and education, supports strong climate action and humane immigration policy, and balances taxes so working families aren’t unduly burdened.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_6_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_6,6,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g6,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Decrease by 15%,Shift to voucher system,Points-based system,Green subsidies only,10% flat tax,Maintain current levels,Double public school funding,Reduce by 50%,Carbon tax ($50/ton),Profile B,0.2,5,0.2,"I chose Profile B because it best matches my background and values: as a 23-year-old, college-educated urban resident with a middle-income and independent politics, I prefer pragmatic, centrist policies—moderate taxes, targeted healthcare and education spending, sensible immigration reform, and practical climate action—so Profile B felt most realistic and aligned with my priorities.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_7_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_7,7,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g7,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Shift to voucher system,Points-based system,Green subsidies only,Progressive (15-35%),Decrease by 15%,Double public school funding,Points-based system,Carbon tax ($50/ton),Profile A,0.2,5,0.2,I picked Profile A because as a 59-year-old rural Republican with modest income I prefer lower taxes and pragmatic spending that prioritizes local healthcare and job-focused education. I favor stricter immigration and common-sense climate policies that won’t harm jobs or rural livelihoods.,,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_8_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,conjoint_policy_experiment_20260405T113918Z_bdod6b_8,8,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1_g8,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Points-based system,Green subsidies only,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,Carbon tax ($50/ton),Profile A,0.2,6,0.2,"I chose Profile A because, as a 45-year-old college-educated suburban Democrat with a comfortable household income, I prefer proposals that invest in healthcare and education, take strong action on climate, and offer humane but practical immigration policies while keeping taxes at a level that supports these priorities without undermining economic stability.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_1_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r2,conjoint_policy_experiment_20260405T113918Z_bdod6b_1,1,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r2_g1,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r2,2,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Open borders,Carbon tax ($50/ton),Current rates maintained,Decrease by 15%,Shift to voucher system,Points-based system,Green subsidies only,Profile A,0.12,6,0.12,"I chose Profile A because as a 34-year-old urban Democrat with a college degree and household income of $60k–$100k, I prioritize expanded healthcare and education funding, meaningful climate action, humane immigration policy, and a reasonable tax rate that balances social investment with my personal financial concerns.",,,
conjoint_policy_experiment_20260405T113918Z_bdod6b_s1,conjoint_policy_experiment_20260405T113918Z_bdod6b_2_conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r2,conjoint_policy_experiment_20260405T113918Z_bdod6b_2,2,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r2_g2,conjoint_policy_experiment_20260405T113918Z_bdod6b_s1_conjoint_r2,2,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Points-based system,No new regulations,10% flat tax,Increase by 20%,Maintain current levels,Reduce by 50%,Green subsidies only,Profile B,0.25,6,0.25,"As a 52‑year‑old rural Republican with no college degree and a $30k–$60k income, I chose this profile because it reflects my preference for lower taxes, limited government spending, stricter immigration control, affordable healthcare/education priorities, and pragmatic climate policies that protect local jobs and the economy.",,,
