session_id,player_id,agent_instance_id,agent_id,group_id,subsession_id,round_number,module,profile_a_tax_rate,profile_a_healthcare_spending,profile_a_education_spending,profile_a_immigration_policy,profile_a_climate_policy,profile_b_tax_rate,profile_b_healthcare_spending,profile_b_education_spending,profile_b_immigration_policy,profile_b_climate_policy,chosen_profile,chosen_profile_speculation_score,choice_confidence,choice_confidence_speculation_score,choice_reasoning,most_important_attribute,most_important_attribute_speculation_score,comments
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_1_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_1,1,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g1,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,10% flat tax,Maintain current levels,Double public school funding,Points-based system,Green subsidies only,10% flat tax,Increase by 20%,Maintain current levels,Reduce by 50%,No new regulations,Profile A,0.2,6,0.2,"I picked Profile A because its policy mix most closely matches my values as a 34-year-old, college-educated Democrat living in an urban area: I prefer stronger healthcare and education investment, progressive taxation, humane immigration policies, and ambitious climate action.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_2_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_2,2,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g2,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Decrease by 15%,Shift to voucher system,Reduce by 50%,Green subsidies only,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,Green subsidies only,Profile B,0.15,6,0.15,"I picked Profile B because it best matches my conservative, rural priorities—favoring lower taxes, limited government intervention, stricter immigration controls, and more cautious climate policies while still supporting practical investments in healthcare and education.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_3_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_3,3,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g3,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Decrease by 15%,Shift to voucher system,Open borders,No new regulations,Progressive (15-35%),Maintain current levels,Shift to voucher system,Reduce by 50%,Carbon tax ($50/ton),Profile B,0.4,5,0.4,"I chose Profile B because it best matches my centrist, pragmatic preferences: it balances moderate taxes with targeted healthcare and education investment, supports sensible immigration policy and realistic climate action, and aligns with my priorities as an urban, college‑educated independent.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_4_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_4,4,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g4,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Maintain current levels,Open borders,No new regulations,Current rates maintained,Increase by 20%,Maintain current levels,Open borders,No new regulations,Profile B,0.25,6,0.25,"I picked Profile B because it best matches my background and political views: as a 67-year-old suburban Republican with a college education and a $60k–$100k income, I favor lower taxes, prudent spending, stricter immigration controls, and measured climate policies that prioritize economic stability and personal responsibility.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_5_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_5,5,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g5,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,Current rates maintained,Maintain current levels,Maintain current levels,Points-based system,Carbon tax ($50/ton),10% flat tax,Decrease by 15%,Maintain current levels,Reduce by 50%,No new regulations,Profile A,0.1,6,0.1,"I selected this profile because it matches my own demographics and political outlook — as a 41-year-old, lower-income, non-college-educated Democrat in a suburban area I tend to favor stronger healthcare and education support, pro-immigrant policies, and active climate action, so the profile best reflects my likely policy preferences.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_6_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_6,6,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g6,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,Progressive (15-35%),Maintain current levels,Shift to voucher system,Points-based system,Carbon tax ($50/ton),Progressive (15-35%),Decrease by 15%,Shift to voucher system,Points-based system,Green subsidies only,Profile A,0.12,6,0.12,"I picked Profile A because its balance of moderate taxes, stronger education and healthcare spending, pragmatic immigration policy, and active climate measures best match my priorities as a young, college-educated urban independent who wants social investment without extreme fiscal measures.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_7_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_7,7,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g7,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,Green subsidies only,10% flat tax,Maintain current levels,Double public school funding,Reduce by 50%,Green subsidies only,Profile A,0.25,6,0.25,"I picked Profile A because it best matches my values and circumstances: as a 59‑year‑old rural Republican with modest income and no college degree, I prefer lower taxes and practical priorities that protect my finances and community—good support for healthcare and education without big tax hikes, stricter immigration control, and skepticism of aggressive climate policies that could harm local jobs.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_8_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,conjoint_manual_experiment_20260405T113845Z_bdod6b_8,8,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1_g8,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r1,1,conjoint,10% flat tax,Maintain current levels,Shift to voucher system,Reduce by 50%,Green subsidies only,Current rates maintained,Decrease by 15%,Double public school funding,Points-based system,No new regulations,Profile B,0.35,5,0.35,"I chose Profile B because it best matches my progressive priorities: a tax approach that funds stronger healthcare and education, humane immigration policies, and ambitious climate action while maintaining economic stability—values that align with my Democratic-leaning preferences.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_1_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r2,conjoint_manual_experiment_20260405T113845Z_bdod6b_1,1,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r2_g1,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r2,2,conjoint,Progressive (15-35%),Maintain current levels,Double public school funding,Open borders,Carbon tax ($50/ton),Progressive (15-35%),Decrease by 15%,Maintain current levels,Reduce by 50%,Carbon tax ($50/ton),Profile A,0.1,6,0.2,"I chose Profile A because its policies align with my values as a 34-year-old, college-educated Democrat in an urban area: I support higher healthcare and education spending, more progressive taxation, humane immigration policies, and robust climate action.",,,
conjoint_manual_experiment_20260405T113845Z_bdod6b_s1,conjoint_manual_experiment_20260405T113845Z_bdod6b_2_conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r2,conjoint_manual_experiment_20260405T113845Z_bdod6b_2,2,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r2_g2,conjoint_manual_experiment_20260405T113845Z_bdod6b_s1_conjoint_r2,2,conjoint,Current rates maintained,Decrease by 15%,Shift to voucher system,Reduce by 50%,No new regulations,Progressive (15-35%),Decrease by 15%,Shift to voucher system,Points-based system,Green subsidies only,Profile A,0.15,6,0.15,"I chose this profile because it reflects my conservative, rural priorities: lower taxes, limited government spending, stricter immigration enforcement, practical support for healthcare and education, and cautious climate measures—balancing fiscal responsibility with essential services.",,,
