ID,module,round_number,class,name,value
1,,,Agent,treatment,T1
2,,,Agent,treatment,T2
3,,,Agent,treatment,T1
4,,,Agent,treatment,T2
5,,,Agent,treatment,T1
6,,,Agent,treatment,T2
7,,,Agent,treatment,T1
8,,,Agent,treatment,T2
9,,,Agent,treatment,T1
10,,,Agent,treatment,T2
11,,,Agent,treatment,T2
12,,,Agent,treatment,T2
13,,,Agent,treatment,T1
14,,,Agent,treatment,T1
15,,,Agent,treatment,T1
16,,,Agent,treatment,T1
17,,,Agent,treatment,T2
18,,,Agent,treatment,T2
19,,,Agent,treatment,T1
20,,,Agent,treatment,T1
21,,,Agent,treatment,T1
22,,,Agent,treatment,T1
23,,,Agent,treatment,T2
24,,,Agent,treatment,T2
