ID,gender,age,college,white,knowledge_counter,extraversion,agreeable,conscientious,emotionally_stable,open_new_experiences,political_interest,strong_partisan,percent_other_party_exposure,democrat,sevenpoint_ideology,regionMidwest,regionSouth,regionWest,republican
ID,What is your gender?,What is your age?,Do you have a college education?,Are you white?,How knowledgeable do you consider yourself about political issues and events? (Not at All Knowledgeable / Slightly / Moderately / Very Knowledgeable),"I see myself as someone who is extraverted, enthusiastic, unreserved, and loud. (Disagree Strongly to Agree Strongly)","I see myself as someone who is uncritical, peaceful, sympathetic, and warm. (Disagree Strongly to Agree Strongly)","I see myself as someone who is dependable, self-disciplined, organised, and careful. (Disagree Strongly to Agree Strongly)","I see myself as someone who is calm, not easily upset, and emotionally stable. (Disagree Strongly to Agree Strongly)","I see myself as someone who is open to new experiences, complex, unconventional, and creative. (Disagree Strongly to Agree Strongly)",How interested are you in politics? (Not at All Interested to Very Interested),Do you strongly align with your current political party and actively support its policies and candidates?,What percentage of your political information comes from sources affiliated with parties other than your own?,Are you a Democrat?,How would you describe your political ideology? (Very Liberal to Very Conservative),Do you live in the Midwest region of the United States?,Do you live in the South region of the United States?,Do you live in the West region of the United States?,Are you a Republican?
1,Female,51,Yes,Yes,Moderately Knowledgeable,Agree Moderately,Disagree a Little,Disagree Moderately,Disagree a Little,Disagree Moderately,Very Interested,No,50%,Yes,Slightly Liberal,Yes,No,No,No
2,Female,30,Yes,Yes,Slightly Knowledgeable,Agree a Little,Disagree Moderately,Between Disagree Moderately and Disagree a Little,Between Disagree Moderately and Disagree a Little,Neither Agree nor Disagree,Somewhat Interested,Yes,35%,Yes,Liberal,No,No,No,No
3,Male,45,No,Yes,Moderately Knowledgeable,Neither Agree nor Disagree,Disagree Moderately,Between Neither Agree nor Disagree and Agree a Little,Neither Agree nor Disagree,Between Disagree Strongly and Disagree Moderately,Very Interested,No,40%,Yes,Liberal,Yes,No,No,No
4,Female,36,Yes,Yes,Very Knowledgeable,Agree a Little,Neither Agree nor Disagree,Agree a Little,Between Agree Moderately and Agree Strongly,Neither Agree nor Disagree,Very Interested,Yes,30%,Yes,Very Liberal,No,No,Yes,No
5,Male,53,Yes,No,Very Knowledgeable,Between Agree a Little and Agree Moderately,Neither Agree nor Disagree,Disagree Strongly,Disagree a Little,Between Disagree Strongly and Disagree Moderately,Very Interested,Yes,10%,No,Conservative,No,No,No,Yes
6,Male,25,No,Yes,Slightly Knowledgeable,Neither Agree nor Disagree,Between Neither Agree nor Disagree and Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Between Neither Agree nor Disagree and Agree a Little,Somewhat Interested,No,11%,No,Slightly Conservative,No,Yes,No,Yes
7,Male,57,No,Yes,Moderately Knowledgeable,Agree a Little,Between Disagree Strongly and Disagree Moderately,Disagree Moderately,Between Disagree a Little and Neither Agree nor Disagree,Disagree a Little,Very Interested,Yes,30%,No,Conservative,No,No,Yes,Yes
8,Female,74,Yes,Yes,Very Knowledgeable,Disagree Moderately,Between Disagree a Little and Neither Agree nor Disagree,Between Disagree Moderately and Disagree a Little,Agree a Little,Between Disagree Moderately and Disagree a Little,Very Interested,Yes,20%,Yes,Very Liberal,No,No,No,No
9,Female,51,Yes,Yes,Moderately Knowledgeable,Agree Moderately,Disagree a Little,Disagree Moderately,Disagree a Little,Disagree Moderately,Very Interested,No,50%,Yes,Slightly Liberal,Yes,No,No,No
10,Female,30,Yes,Yes,Slightly Knowledgeable,Agree a Little,Disagree Moderately,Between Disagree Moderately and Disagree a Little,Between Disagree Moderately and Disagree a Little,Neither Agree nor Disagree,Somewhat Interested,Yes,35%,Yes,Liberal,No,No,No,No
11,Male,45,No,Yes,Moderately Knowledgeable,Neither Agree nor Disagree,Disagree Moderately,Between Neither Agree nor Disagree and Agree a Little,Neither Agree nor Disagree,Between Disagree Strongly and Disagree Moderately,Very Interested,No,40%,Yes,Liberal,Yes,No,No,No
12,Female,36,Yes,Yes,Very Knowledgeable,Agree a Little,Neither Agree nor Disagree,Agree a Little,Between Agree Moderately and Agree Strongly,Neither Agree nor Disagree,Very Interested,Yes,30%,Yes,Very Liberal,No,No,Yes,No
13,Male,53,Yes,No,Very Knowledgeable,Between Agree a Little and Agree Moderately,Neither Agree nor Disagree,Disagree Strongly,Disagree a Little,Between Disagree Strongly and Disagree Moderately,Very Interested,Yes,10%,No,Conservative,No,No,No,Yes
14,Male,25,No,Yes,Slightly Knowledgeable,Neither Agree nor Disagree,Between Neither Agree nor Disagree and Agree a Little,Neither Agree nor Disagree,Neither Agree nor Disagree,Between Neither Agree nor Disagree and Agree a Little,Somewhat Interested,No,11%,No,Slightly Conservative,No,Yes,No,Yes
15,Male,57,No,Yes,Moderately Knowledgeable,Agree a Little,Between Disagree Strongly and Disagree Moderately,Disagree Moderately,Between Disagree a Little and Neither Agree nor Disagree,Disagree a Little,Very Interested,Yes,30%,No,Conservative,No,No,Yes,Yes
16,Female,74,Yes,Yes,Very Knowledgeable,Disagree Moderately,Between Disagree a Little and Neither Agree nor Disagree,Between Disagree Moderately and Disagree a Little,Agree a Little,Between Disagree Moderately and Disagree a Little,Very Interested,Yes,20%,Yes,Very Liberal,No,No,No,No
17,Female,51,Yes,Yes,Moderately Knowledgeable,Agree Moderately,Disagree a Little,Disagree Moderately,Disagree a Little,Disagree Moderately,Very Interested,No,50%,Yes,Slightly Liberal,Yes,No,No,No
18,Female,30,Yes,Yes,Slightly Knowledgeable,Agree a Little,Disagree Moderately,Between Disagree Moderately and Disagree a Little,Between Disagree Moderately and Disagree a Little,Neither Agree nor Disagree,Somewhat Interested,Yes,35%,Yes,Liberal,No,No,No,No
19,Male,45,No,Yes,Moderately Knowledgeable,Neither Agree nor Disagree,Disagree Moderately,Between Neither Agree nor Disagree and Agree a Little,Neither Agree nor Disagree,Between Disagree Strongly and Disagree Moderately,Very Interested,No,40%,Yes,Liberal,Yes,No,No,No
