depolarization_index_1issue_change,affect_index_change,issue_index_global_change,other_party_change,social_distance_change,outgroup_stereotype_change,gender,age,college,white,knowledge_counter,extraversion,agreeable,consecientious,emotionally_stable,open_new_experiences,political_interest,strong_partisan,percent_other_party_exposure,democrat,sevenpoint_ideology,regionMidwest,regionSouth,regionWest,faminc_val,republican,faminc_notsay,fully_compliant,treatment_assigned,displayCondition,chatID_full,fully_compliant_CORRECT,fully_compliant_INCORRECT,fully_compliant_NONE,treatment_assigned_CORRECT,treatment_assigned_INCORRECT,treatment_assigned_NONE
0.544912565,0.065740741,0.008333333,0.075,-0.15,0.027777778,1,50,1,1,2,5,2.5,1.5,3,2,4,0,60,0,4,TRUE,FALSE,FALSE,1.525952607,1,FALSE,0,0,CONTROL,CONTROL_1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-1.050318969,-0.072777778,-0.07,-0.085,0.133333333,0,2,51,1,1,2,6,3,2,3,2,4,0,50,1,3,TRUE,FALSE,FALSE,0.588796006,0,FALSE,1,1,CORRECT,HoMHmgJylZR06D0YmVrB,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
0.474073932,0.137777778,-0.073333333,0.18,-0.233333333,0,1,56,0,0,3,4.5,3,2.5,1.5,3,3,0,10,1,4,FALSE,FALSE,FALSE,-0.492538534,0,FALSE,1,1,CORRECT,1UERijH7RvXUepisvbWJ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
0.644359108,0.067592593,0.02,-0.075,-0.166666667,-0.111111111,2,43,1,1,3,2,1,1,1,1,4,1,20,1,1,TRUE,FALSE,FALSE,-0.636716472,0,FALSE,0,0,ROBUST,ROBUST_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.70429949,0.045740741,0.05,0.015,-0.066666667,-0.055555556,1,26,1,1,3,2.5,1,2.5,4.5,3,4,1,5,1,1,TRUE,FALSE,FALSE,-0.348360595,0,FALSE,0,0,CONTROL,CONTROL_6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.82962938,-0.017222222,0.13,0.015,0.066666667,1.11E-16,1,72,1,1,3,4.5,3,1,1.5,2.5,3,1,15,1,2,FALSE,TRUE,FALSE,0.084173221,0,FALSE,1,1,INCORRECT,0Ggl2fSoialNGxJPMuQ7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
0.435930052,0.052592593,0.006666667,0.13,0,-0.027777778,2,23,0,1,1,4.5,3,2.5,5.5,4.5,4,1,0,1,1,FALSE,FALSE,FALSE,-0.060004718,0,FALSE,0,0,CONTROL,CONTROL_8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-1.046232125,-0.065555556,-0.076666667,-0.03,0,0.166666667,2,42,0,1,1,6.5,1.5,1.5,3,1,3,0,20,1,4,FALSE,TRUE,FALSE,-0.852976171,0,FALSE,1,1,CORRECT,0PlwinuOlg8i3LfXmOFb,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
0.514942374,-0.05,0.12,0.15,0.3,0,1,59,0,1,3,3,3,1.5,3,3,4,1,30,0,7,TRUE,FALSE,FALSE,-0.348360595,1,FALSE,1,1,INCORRECT,0Ggl2fSoialNGxJPMuQ7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-0.561259942,0.057037037,-0.133333333,0.01,-0.133333333,-0.027777778,1,53,0,1,3,2.5,1,1,1,1,4,1,10,1,3,FALSE,TRUE,FALSE,-0.636716472,0,FALSE,1,1,INCORRECT,0ECFxYqUpOsOOKYj1J2L,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
0.26019575,0.078703704,-0.043333333,0.075,-0.133333333,-0.027777778,1,28,0,1,3,7,3.5,5,6.5,2.5,3,0,5,1,1,FALSE,FALSE,FALSE,-0.780894411,0,FALSE,0,0,CONTROL,CONTROL_16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.194720799,0.200185185,-0.037777778,0.295,-0.083333333,-0.222222222,2,51,1,1,1,2,2,1,1.5,3.5,3,1,15,0,6,FALSE,TRUE,FALSE,-0.060004718,1,FALSE,1,1,CORRECT,05exNmbr40XKcY5yCzId,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-0.726095993,-0.09537037,-0.003333333,-0.125,0.133333333,0.027777778,2,41,1,1,1,7,1,4,3.5,4.5,2,0,30,1,2,TRUE,FALSE,FALSE,-0.060004718,0,FALSE,0,0,ROBUST,ROBUST_18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-0.430480926,-0.091851852,0.033333333,-0.22,0,0.055555556,2,55,1,0,1,6.5,1,1.5,1,1.5,2,1,0,1,2,FALSE,TRUE,FALSE,-0.636716472,0,FALSE,0,0,ROBUST,ROBUST_19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-0.978118054,-0.132962963,0,-0.21,0.133333333,0.055555556,2,30,1,1,1,5,2,2.5,2.5,4,3,1,35,1,2,FALSE,FALSE,FALSE,0.084173221,0,FALSE,1,1,NONE,0FqUT0i4MFxsXKMoqwKP,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
-0.25065978,0.052592593,-0.086666667,0.13,0,-0.027777778,1,45,0,1,2,4,2,4.5,4,1.5,4,0,40,1,2,TRUE,FALSE,FALSE,-0.060004718,0,FALSE,1,1,NONE,ETlVRA2eds7HtI47VvYu,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
-0.170285177,-0.056481481,0.033333333,-0.075,0.066666667,0.027777778,2,36,1,1,3,5,4,5,6.5,4,4,1,30,1,1,FALSE,FALSE,TRUE,-0.636716472,0,FALSE,1,1,CORRECT,DO76E1BZZTZqCaPcxJRX,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
-0.592592415,-0.030555556,-0.05,-0.025,0.066666667,0,1,38,1,1,2,7,3.5,1,4.5,1,4,0,20,1,1,TRUE,FALSE,FALSE,-0.852976171,0,FALSE,0,0,ROBUST,ROBUST_26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.754703903,0.070925926,0.031666667,0.035,-0.066666667,-0.111111111,1,80,1,1,3,2,2,1.5,2.5,3.5,3,0,0,0,6,FALSE,FALSE,FALSE,-0.204182657,1,FALSE,0,0,CONTROL,CONTROL_27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1.37862879,-0.009259259,0.196666667,0.05,0.05,0.027777778,2,59,0,1,1,4,4,4,4,4,3,0,40,0,4,FALSE,FALSE,FALSE,-0.636716472,1,FALSE,0,0,ROBUST,ROBUST_28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.217965026,0.046296296,-0.016666667,0,0,-0.138888889,1,52,1,1,3,6.5,1.5,1,1.5,3,4,1,20,1,2,FALSE,FALSE,TRUE,-0.997168528,0,TRUE,1,1,INCORRECT,75VEj2jPUkEYXWy5GCKY,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-1.452191986,-0.200740741,0.003333333,-0.53,0.35,-0.277777778,2,78,0,1,2,2.5,3,2,3.5,4,4,1,10,0,6,FALSE,TRUE,FALSE,-0.997168528,1,TRUE,0,0,ROBUST,ROBUST_30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-0.281992252,-0.088333333,0.05,-0.015,0,0.25,1,41,1,1,3,7,2.5,1,1,5,3,0,30,1,4,FALSE,TRUE,FALSE,0.588796006,0,FALSE,1,1,CORRECT,0dwu0txhL7HyVh3HrSGE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
0.088548292,-0.05462963,0.066666667,0.025,0.3,-0.111111111,2,75,1,1,2,3.5,2,2.5,2.5,2.5,4,1,NA,1,5,FALSE,TRUE,FALSE,-0.492538534,0,FALSE,1,1,INCORRECT,0NsUpXfMClz7znVdYzFo,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-0.920902235,-0.088518519,-0.036666667,-0.36,-0.066666667,-0.027777778,2,68,0,0,2,4.5,3.5,2.5,4,4,4,0,10,1,4,TRUE,FALSE,FALSE,-0.060004718,0,FALSE,0,0,ROBUST,ROBUST_35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-0.002724563,-0.09037037,0.09,-0.16,0.166666667,-0.055555556,2,62,1,1,2,4,1,1,2.5,2,4,0,30,1,3,FALSE,TRUE,FALSE,-0.492538534,0,FALSE,0,0,CONTROL,CONTROL_36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-1.294167342,-0.115925926,-0.06,-0.17,-0.016666667,0.194444444,2,46,0,1,2,3,1,5,5,3,3,1,15,1,1,TRUE,FALSE,FALSE,-0.780894411,0,FALSE,1,1,NONE,5RLTpN2NtCMuFrlfbg5h,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
