session_id,profile_id,agent_id,agent_instance_id,module,round_number,class,name,value
simple_pgg_20260405T113644Z_xaji0y_s1,1,1,simple_pgg_20260405T113644Z_xaji0y_1,task1,1,Player,treatment,control
simple_pgg_20260405T113644Z_xaji0y_s1,1,1,simple_pgg_20260405T113644Z_xaji0y_1,task1,2,Player,treatment,control
simple_pgg_20260405T113644Z_xaji0y_s1,1,1,simple_pgg_20260405T113644Z_xaji0y_1,task1,3,Player,treatment,control
simple_pgg_20260405T113644Z_xaji0y_s1,2,2,simple_pgg_20260405T113644Z_xaji0y_2,task1,1,Player,treatment,treatment_A
simple_pgg_20260405T113644Z_xaji0y_s1,2,2,simple_pgg_20260405T113644Z_xaji0y_2,task1,2,Player,treatment,treatment_A
simple_pgg_20260405T113644Z_xaji0y_s1,2,2,simple_pgg_20260405T113644Z_xaji0y_2,task1,3,Player,treatment,treatment_A
simple_pgg_20260405T113644Z_xaji0y_s1,3,3,simple_pgg_20260405T113644Z_xaji0y_3,task1,1,Player,treatment,control
simple_pgg_20260405T113644Z_xaji0y_s1,3,3,simple_pgg_20260405T113644Z_xaji0y_3,task1,2,Player,treatment,control
simple_pgg_20260405T113644Z_xaji0y_s1,3,3,simple_pgg_20260405T113644Z_xaji0y_3,task1,3,Player,treatment,control
simple_pgg_20260405T113644Z_xaji0y_s1,4,4,simple_pgg_20260405T113644Z_xaji0y_4,task1,1,Player,treatment,treatment_A
simple_pgg_20260405T113644Z_xaji0y_s1,4,4,simple_pgg_20260405T113644Z_xaji0y_4,task1,2,Player,treatment,treatment_A
simple_pgg_20260405T113644Z_xaji0y_s1,4,4,simple_pgg_20260405T113644Z_xaji0y_4,task1,3,Player,treatment,treatment_A
simple_pgg_20260405T113644Z_xaji0y_s1,1,1,simple_pgg_20260405T113644Z_xaji0y_1,task1,1,Group,group_id,group1
simple_pgg_20260405T113644Z_xaji0y_s1,3,3,simple_pgg_20260405T113644Z_xaji0y_3,task1,1,Group,group_id,group1
simple_pgg_20260405T113644Z_xaji0y_s1,2,2,simple_pgg_20260405T113644Z_xaji0y_2,task1,1,Group,group_id,group2
simple_pgg_20260405T113644Z_xaji0y_s1,4,4,simple_pgg_20260405T113644Z_xaji0y_4,task1,1,Group,group_id,group2
simple_pgg_20260405T113644Z_xaji0y_s1,1,1,simple_pgg_20260405T113644Z_xaji0y_1,task1,2,Group,group_id,group1
simple_pgg_20260405T113644Z_xaji0y_s1,3,3,simple_pgg_20260405T113644Z_xaji0y_3,task1,2,Group,group_id,group1
simple_pgg_20260405T113644Z_xaji0y_s1,2,2,simple_pgg_20260405T113644Z_xaji0y_2,task1,2,Group,group_id,group2
simple_pgg_20260405T113644Z_xaji0y_s1,4,4,simple_pgg_20260405T113644Z_xaji0y_4,task1,2,Group,group_id,group2
simple_pgg_20260405T113644Z_xaji0y_s1,1,1,simple_pgg_20260405T113644Z_xaji0y_1,task1,3,Group,group_id,group1
simple_pgg_20260405T113644Z_xaji0y_s1,3,3,simple_pgg_20260405T113644Z_xaji0y_3,task1,3,Group,group_id,group1
simple_pgg_20260405T113644Z_xaji0y_s1,2,2,simple_pgg_20260405T113644Z_xaji0y_2,task1,3,Group,group_id,group2
simple_pgg_20260405T113644Z_xaji0y_s1,4,4,simple_pgg_20260405T113644Z_xaji0y_4,task1,3,Group,group_id,group2
