session_id,player_id,agent_instance_id,agent_id,group_id,subsession_id,round_number,module,treatment,decision,decision_speculation_score,public_account_earnings,private_account_remaining,total_earnings
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_1_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,simple_pgg_20260518T140902Z_xaji0y_1,1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1_g1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,1,task1,control,5,0.3,10,5,15
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_3_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,simple_pgg_20260518T140902Z_xaji0y_3,3,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1_g1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,1,task1,control,5,0.3,10,5,15
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_2_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,simple_pgg_20260518T140902Z_xaji0y_2,2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1_g2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,1,task1,treatment_A,5,0.3,10,5,15
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_4_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,simple_pgg_20260518T140902Z_xaji0y_4,4,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1_g2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r1,1,task1,treatment_A,5,0.3,10,5,15
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_1_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,simple_pgg_20260518T140902Z_xaji0y_1,1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2_g1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,2,task1,control,4,0.4,10,6,16
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_3_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,simple_pgg_20260518T140902Z_xaji0y_3,3,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2_g1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,2,task1,control,6,0.4,10,4,14
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_2_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,simple_pgg_20260518T140902Z_xaji0y_2,2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2_g2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,2,task1,treatment_A,6,0.4,10,4,14
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_4_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,simple_pgg_20260518T140902Z_xaji0y_4,4,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2_g2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r2,2,task1,treatment_A,4,0.4,10,6,16
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_1_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,simple_pgg_20260518T140902Z_xaji0y_1,1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3_g1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,3,task1,control,6,0.3,10,4,14
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_3_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,simple_pgg_20260518T140902Z_xaji0y_3,3,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3_g1,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,3,task1,control,4,0.3,10,6,16
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_2_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,simple_pgg_20260518T140902Z_xaji0y_2,2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3_g2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,3,task1,treatment_A,5,0.3,11,5,16
simple_pgg_20260518T140902Z_xaji0y_s1,simple_pgg_20260518T140902Z_xaji0y_4_simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,simple_pgg_20260518T140902Z_xaji0y_4,4,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3_g2,simple_pgg_20260518T140902Z_xaji0y_s1_task1_r3,3,task1,treatment_A,6,0.5,11,4,15
